微博id,微博正文,发布时间,点赞数,转发数,评论数,热度值,关键短语
Jedf0aGt6,【暑假在家干什么？闲来无事充充电！】读书、锻炼身体来提升自己，或者还可以get一项新技能：摄影、街舞、绘画...长大后自由时间更宝贵，趁着时光大好，一起努力，一起奥利给！关注@人民日报 ，转发微博抽20名粉丝送人民日报新媒体&#realme真我V5#联名手机礼盒，未来的样子，由你自己决定！  [组图共9张] 原图 ,2020-08-03,41688,44510,17576,30.68400768294807,一起奥利#SPLIT#摄影街舞#SPLIT#街舞绘画#SPLIT#读书锻炼身体#SPLIT#锻炼身体提升
Je2wbFzyA,【#7岁女童商场偷拿玩具亲妈报警#】近日，广东佛山南海警方接到一位母亲报警称，7岁女儿在商场偷了东西。一开始无论女孩妈妈和店员怎么问，小女孩就是不肯承认。妈妈于是想到了报警，给女儿一个教训。在民警劝说教育下，小女孩终于承认，看到小玩具很漂亮，但也知道自己家里条件不好，不好意思向妈妈开口要钱，一时没忍住就偷拿了几个。事后，女孩妈妈按商品原价进行了赔偿。http://t.cn/A6UyO8vJ ,2020-08-02,636331,7677,19787,30.467098693431996,女孩妈妈#SPLIT#亲妈报警#SPLIT#偷拿玩具#SPLIT#商场偷拿#SPLIT#好意思妈妈
JdVGI2OH8,【#警方发现在青海失联女大学生遗骸#】7月30日19时40分许，在可可西里自然保护区清水河南侧无人区相继发现其身份证、学生证及相关随身物品。并在现场勘查发现人体骨骼组织，经DNA比对为黄某某遗骸。经初步侦查，排除他杀。目前，相关工作仍在继续进行中。警方发现在青海失联女大学生遗骸  原图 ,2020-08-01,814886,6869,23063,30.709364110345454,大学生遗骸#SPLIT#侧无人区#SPLIT#可可西里自然保护区#SPLIT#排除他杀#SPLIT#无人区相继
JdNTCDgXB,今天，中国人民解放军建军93周年。#八一建军节#，谢谢你，守护我们的人民子弟兵！#领航强军新时代#  原图 ,2020-08-01,516381,8635709,49110,38.75147501193159,中国人民解放军建军#SPLIT#强军新时代#SPLIT#领航强军#SPLIT#人民子弟兵#SPLIT#守护人民
JdicWwlML,【公示！#微博关闭禁言136个违规账号#，#微博关闭35个百万粉丝违规账号#】据@微博管理员，根据微博整治平台和自媒体账号突出问题规范网络传播秩序专项行动的安排，站方将集中对平台内存在的发布涉黄低俗信息、违规采编转载互联网新闻信息、散播虚假信息、宣扬仇恨、散布极端观点恶意营销的账号进行集中检查清理。并于今日公示第一批违规账号关闭125个禁言11个共136个，其中涉黄低俗账号86个、违规采编转载互联网新闻信息冒充媒体账号15个、散播虚假信息发布不实信息账号33个、宣扬仇恨散布极端观点恶意营销账号2个。以上账号中百万粉丝以上的有35个，一百万粉丝到十万粉丝的有90个，十万粉丝到一万粉丝的有11个。本次专项整治中，微博将每周发布相关处置结果，公示主要任务工作进度，并设置了“专项整治投诉邮箱”接收专门投诉，欢迎用户积极提供线索。附：专项整治投诉邮箱：tousu@staff.weibo.com 原图 ,2020-07-28,552916,7181,18921,30.262935582094542,违规账号#SPLIT#关闭禁言#SPLIT#媒体账号#SPLIT#黄低俗#SPLIT#虚假信息
JcZpLbXfs,【有创意！#南开录取通知书送两粒莲花种子#】日前，@南开大学 晒出2020年高考录取通知书设计。随通知书一同寄出还有一只荷包，写有“一元复始，万象新生”字样，装有两粒莲花种子，学校表示，希望新生将其中一颗种于故乡，不改初心；一颗带来校园，见证成长。#南开录取通知书里附赠荷包#，你想拥有吗？http://t.cn/A6yk5J5c [组图共4张] 原图 ,2020-07-26,468948,33247,15367,31.400938600327198,录取通知书#SPLIT#莲花种子#SPLIT#南开录取#SPLIT#一同寄出#SPLIT#写有一元复始
JcO9obI3p,【杭州警方公布搜证侦破经过：#民警抽取38车粪水筛查发现人体组织#】#杭州女子失踪案是有预谋的故意杀人案#，杭州警方公布搜证侦破经过：民警在接近40度的高温天气下，身着全封闭的隔离服，连续奋战25小时，对抽取的38车粪水进行冲洗、筛查，期间发现有疑似人体组织，现场提取检测后，经DNA比对系来某某人体组织，综合判断来某某可能遇害，同时，结合各类侦查数据研判，进一步明确许某某的重大犯罪嫌疑。详情↓↓ 原图 ,2020-07-25,1168817,137111,41716,34.772301156784856,人体组织#SPLIT#粪水#SPLIT#侦破民警#SPLIT#冲洗筛查#SPLIT#失踪案预谋
JcO44qxU1,【#警方公布失踪遇害女子丈夫被抓捕视频#】警方通报，#杭州女子失踪案是有预谋的故意杀人案#。女子丈夫许某某初步交代，其因家庭生活矛盾对来某某产生不满，于 7月5日凌晨，在家中趁来某某熟睡之际将其杀害，分尸后分散抛弃。#失踪遇害女子丈夫被抓现场#↓↓人民日报的微博视频  ,2020-07-25,2399644,170143,75864,36.24488218609845,女子丈夫#SPLIT#失踪遇害#SPLIT#丈夫许某某#SPLIT#分尸分散#SPLIT#失踪案预谋
JbsaLhCxc,【转扩周知！#电影院恢复观影注意事项#】①全部采取网络实名预约、无接触方式售票；②实行交叉隔座售票，陌生观众间距1米以上；③#进电影院必须全程佩戴口罩#；④每场电影上座率不得超过30%；⑤影厅内原则上禁止饮食…戳图了解↓↓#低风险地区电影院7月20日开放营业#，你想看哪部电影？ [组图共9张] 原图 ,2020-07-16,327775,15953,25656,31.25636530086524,佩戴口罩#SPLIT#影厅原则上#SPLIT#恢复观影#SPLIT#扩周知#SPLIT#注意事项全
JbbY0wpyU,【看到泪目！#身体被敲断4次的折叠人出院#】据@深圳卫健委 ，李华是世界罕见的“3-on折叠人”（下颌紧贴胸骨、胸骨紧贴耻骨、面部紧贴股骨）。从18岁到46岁，强直性脊柱炎让他的身体渐渐“石化”。幸运的是，经过四次“粉身碎骨”的手术，先后被敲断大腿、脖子、脊椎，再换掉髋关节，他终于站了起来。母亲40多岁就带他看医生，如今已经71岁。2019年6月13日入院，2020年6月13日出院，这一艰辛的过程被制作成纪录片。http://t.cn/A6yJiAeB 网友：感谢医护人员，也致敬坚强的患者和家人。祝福！ ,2020-07-14,821977,73867,37124,33.80283826456821,敲断#SPLIT#下颌紧贴#SPLIT#卫健委#SPLIT#强直性脊柱炎#SPLIT#感谢医护人员
JaqT75vZN,【#哈萨克斯坦出现不明原因肺炎#，致死率远高于新冠】7月9日，#中国驻哈大使馆提醒防范不明肺炎#。大使馆发布的提醒称，6月中旬以来哈萨克斯坦阿特劳州、阿克纠宾州和奇姆肯特市肺炎发病率较同期显著升高。截至目前，三地已有近5百人感染、30余人病危。今年上半年，肺炎共导致1772人死亡，仅6月就有628人死亡，其中也包括中国公民。该病致死率远高于新冠肺炎。哈卫生部等机构正对该肺炎病毒进行对比研究，尚未予以明确定性。中国驻哈使馆提醒在哈中国公民注意上述情况，切实提高防范意识，降低感染风险。http://t.cn/A6yM7eOv 原图 ,2020-07-09,744940,53168,29708,33.090568912304754,中国公民#SPLIT#中国驻#SPLIT#致死率远#SPLIT#不明肺炎#SPLIT#冠肺炎
Jagljf498,【#多地2020高考结束#，转发微博，向他们说声感谢】感谢父母永远做自己最坚强的后盾；感谢老师默默耕耘让我们放飞人生梦想；感谢所有高考路上的护航人；也感谢那个永不言弃、拼搏到底的自己…十余载寒窗苦读，特殊的超长假期，你#高考后最想感谢的人#是谁？戳↓↓告别这段不可复制的高考时光！  [组图共9张] 原图 ,2020-07-08,406485,15267,14947,30.509665983289445,坚强后盾#SPLIT#寒窗苦读#SPLIT#感谢永不言弃#SPLIT#戳告别#SPLIT#放飞人生
Ja9nXreL9,【#坠湖公交5名学生遇难#：#坠湖公交驾驶员无生命体征#】截至7月7日22时，安顺市公交坠湖事件现已搜救出37人，其中受伤16人，20人无生命体征，1人送医后经抢救无效死亡。37人中有学生 12 人，其中 5 人无生命体征，6人正在接受治疗，1人已出院。坠湖公交车已打捞上岸，驾驶员无生命体征。#坠湖公交5名学生和驾驶员无生命体征#（人民日报记者苏滨） [组图共9张] 原图 ,2020-07-07,701602,10534,30350,31.47389694153513,坠湖#SPLIT#驾驶员生命#SPLIT#湖学生#SPLIT#安顺市坠#SPLIT#打捞上岸
Ja7elkOQc,【最新！#贵州公交坠湖已致21人死亡#：#贵州坠湖公交搜救出36人#】7月7日中午12时许，安顺市西秀区一辆公交车在行驶过程中冲出路边护栏，坠入虹山湖中。截至7日下午17时30分，共搜救出36人，其中21人死亡、15人受伤，伤员已全部转往医院救治。  [组图共9张] 原图 ,2020-07-07,820059,80440,83733,35.10694624907275,搜救出#SPLIT#坠湖#SPLIT#伤员转往#SPLIT#坠入虹山#SPLIT#安顺市西秀区
Ja30wsIPZ,【如果你记得今天，请发条微博，传递历史】83年前的今天，卢沟桥畔一声枪响，拉开全民族抗战的序幕。大片国土沦陷，3500万同胞伤亡。全体中华儿女共赴国难，抗战到底，用生命和鲜血谱写了反抗外来侵略的壮丽史诗。#七七事变83周年纪念日#，致敬先辈不屈的抗争，你我更须铭记：振兴中华，吾辈自强！  [组图共9张] 原图 ,2020-07-07,76356,666603,11682,33.08037404925494,不屈抗争#SPLIT#中华儿女共赴国难#SPLIT#侵略壮丽#SPLIT#先辈不屈#SPLIT#全民族抗战
J9ZMCBx31,#高考前最后一天#【冲吧少年！愿你们前途似锦，未来可期】2020年的高考，有不同也有相同。超额寒假、云端开学、高考延期....但不变的是乘风破浪，为梦想拼尽全力，一往无前！三年的奋斗，将成为人生中最宝贵的时光，每一刻都闪闪发光。转发加油，祝所有考生金榜题名！ 人民日报的微博视频  ,2020-07-06,161573,35244,12491,30.615703792330258,不变乘风破浪#SPLIT#云端开学#SPLIT#前途似锦#SPLIT#可期高考#SPLIT#拼尽全力
J9Yul1mmH,【关注抽奖！#87红楼梦推出复刻服装#，转发送20套】把经典《红楼梦》穿在身上！87版《红楼梦》服装设计师史延芹，从当时设计的2700套服装中挑选5套进行还原，致敬一代人心中的经典。保护传统文化的最好方式就是让它融入生活，关注@人民日报 转发这条微博并@ 两名好友，就有机会获得林黛玉服装，转扩！  [组图共10张] 原图 ,2020-07-06,56207,35069,17491,30.587756899186246,一代人心中#SPLIT#复刻服装#SPLIT#推出复刻#SPLIT#林黛玉服装#SPLIT#致敬一代人
J9Ttb0v34,【明天高考，转发海报，祝福每一位勇往直前的高考生】十余载寒窗，多一个月备战，2020年的高考生历经考验；走到#高考前最后一天#，已值得所有掌声！携勇敢之心，荣耀入场，愿你们合上笔盖的瞬间，有侠客收剑入鞘般骄傲！#2020高考倒计时1天#，转发，祝福高考学子金榜题名↓↓  原图 ,2020-07-06,165513,84876,15582,31.838267742999868,入鞘#SPLIT#勇往直前高考生#SPLIT#合上笔#SPLIT#学子金榜题名#SPLIT#愿合上
J98BBaTKd,【1921—2020，#初心不改99如一# 】不忘初心、永远奋斗。#建党节#，一起转，祝福#党的99岁生日#！  原图 ,2020-07-01,95875,871871,16412,33.972546861655076,不忘初心#SPLIT#初心改#SPLIT#初心永远#SPLIT#永远奋斗#SPLIT#党生日
J8S5pBkzY,【#郑州一拉杆箱内藏女尸#，警方悬赏5万征集线索】近日，河南郑州公安局航空港分局发布悬赏公告：6月20日，在辖区内发现一个拉杆箱内藏有一具女尸，尸体高度腐败，死亡时间3个月以上，悬赏5万征集线索。#警方悬赏5万征集拉杆箱女尸线索#（人民日报记者朱佩娴）  原图 ,2020-06-29,858091,19958,45970,32.83631781064609,拉杆箱内藏#SPLIT#悬赏征集#SPLIT#公安局航空港#SPLIT#具女尸#SPLIT#内藏具
J8RYNeiOb,【如梦似幻！#拉萨彩虹瀑布#来了���】近日，一摄影师在拉萨拍到“彩虹瀑布”。@中国天气 #专家解释彩虹瀑布成因#：这种现象的出现是种视觉“错位”，前面是雨幕，后面是彩虹，由于拍摄角度的关系，在视觉上便出现了#彩虹瀑布#的震撼效果。@王源宗Bboy 王源宗Bboy的微博视频  ,2020-06-29,186303,33684,16059,31.018505908198534,彩虹瀑布#SPLIT#拉萨彩虹#SPLIT#拉萨拍到#SPLIT#拍到彩虹#SPLIT#拍摄角度关系
J8QSy3jv8,【与你有关！第四期#中国妇女社会地位调查7月1日开始#】#第四期中国妇女社会地位调查#将以2020年7月1日为调查时点，在全国31个省区市和新疆生产建设兵团开展调查。该调查是全国妇联和国家统计局联合开展的具有全国规模、权威性的重要国情调查、妇情调查。自1990年起，调查每十年开展一次。http://t.cn/A6LDEvA7 ,2020-06-29,416988,6525,23487,30.35032443504269,地位调查#SPLIT#全国省区市#SPLIT#全国妇联国家统计局#SPLIT#国家统计局联合#SPLIT#新疆生产建设兵团开展调查
J8Dq3e3d8,#毕业快乐#【#李宇春和武汉毕业生合唱#】“我和你一样，一样的坚强，一样的全力以赴追逐我的梦想。”李宇春与武汉毕业生合唱歌曲《和你一样》，为毕业生加油！#未来你好毕业晚会# 人民日报的微博视频  ,2020-06-28,82669,156865,9013,31.284254550703757,李宇春武汉#SPLIT#全力以赴追逐#SPLIT#快乐李宇春#SPLIT#毕业生合唱#SPLIT#你好毕业
J8DmtAU2S,【#张杰与医护歌迷合唱仰望星空#】“星并不远 ，梦并不远，只要你踮起脚尖。”张杰和山东医疗队的战士们，一起合唱《仰望星空》，为毕业生加油。祝你们迎来人生新篇章！#张杰与医护人员合唱# 人民日报的微博视频  ,2020-06-27,69692,92142,7304,30.35149606403073,合唱仰望#SPLIT#并不远#SPLIT#仰望星空#SPLIT#医护人员合唱#SPLIT#医疗队战士
J8DfCkeLi,【#你好，明天#】一场名为“未来你好”的云歌会，唱响四海的毕业歌。少了痛饮，没了旅行，连合照也是P的，今年毕业季注定遗憾。但穿越煎熬时刻，时代发出了另一本烫金证书，上面写着：拥抱变化，坚定从容。“亲爱的旅人，没有一条路无风无浪”，但也没有什么可以阻挡青春的力量。祝你前程似锦，青春万岁！http://t.cn/A6L1urgH ,2020-06-27,101901,192311,8072,31.42717841427033,一条路无风#SPLIT#云歌会#SPLIT#亲爱的旅人#SPLIT#唱响四海#SPLIT#四海毕业
J8CHqtK5U,【#王源滚烫的青春献给毕业生#】#王源与重庆大学毕业生合唱#：“滚烫的青春，我没有天分，还想倔强，不留遗憾一分”“滚烫的青春，有很多过程，经历过了，就变成了大人”这首期待已久的《滚烫的青春》，有没有燃起你的青春回忆？@人民日报 正在直播！完整节目单→ 人民日报的微博视频  ,2020-06-27,244462,1172368,14225,34.52218650252308,不留遗憾#SPLIT#大人期待已久#SPLIT#期待已久青春#SPLIT#毕业生王源#SPLIT#燃起青春
J8CB9kxai,【未来你好毕业晚会为毕业生加油】“有苦衷不说，只相信英勇，燃烧心底最深角落冲破！”用歌声，为毕业生加油！#未来你好毕业晚会#@人民日报 正在直播！  人民日报的微博视频 完整节目单→  原图 ,2020-06-27,206608,158255,10163,31.931171969218884,毕业晚会#SPLIT#加油苦衷#SPLIT#心底最深#SPLIT#最深角落#SPLIT#燃烧心底
J8Ci5lPqI,【#刘宇宁唱昨日少年#】“怎么才能守护当年未完成的誓约”“怎么才能拥抱一直想到达的明天” ...刘宇宁带来的这首《昨日少年》，戳到你的记忆了吗？#未来你好毕业晚会# @人民日报 正在直播！完整节目单→ 人民日报的微博视频  原图 ,2020-06-27,131719,58809,16993,31.48720748504438,刘宇唱#SPLIT#刘宇宁带来#SPLIT#守护未完成#SPLIT#未完成誓约#SPLIT#誓约拥抱
J8yEw2LgU,【锁定！今晚8点！#未来你好毕业晚会#，就在@人民日报】2020毕业季，我们许你一场盛大的典礼！@人民日报 联合微博、@电影频道融媒体中心 推出毕业歌2020云演唱会，众多歌手献上祝福，愿你乘风破浪，未来可期，毕业快乐！点击预约→网页链接 人民日报的微博直播 .  ,2020-06-27,1137129,1330142,230881,39.5972991190178,微博电影频道#SPLIT#愿乘风破浪#SPLIT#歌手献上#SPLIT#献上祝福#SPLIT#电影频道融
J8yw8hnkw,【转给所有毕业生！#周深为毕业生献唱#】今天，@卡布叻_周深 做客#中国传媒大学云毕业典礼#，为大家带来了一首《一期一会》。珍惜相遇，然后大步向前。愿你们未来可期，光芒万丈！#未来你好毕业典礼#  人民日报的微博视频  ,2020-06-27,147341,25840,10793,30.04009205870156,中国传媒大学云#SPLIT#云毕业典礼#SPLIT#你好毕业典礼#SPLIT#做客中国传媒大学#SPLIT#叻周深
J87mA0ECE,【正在直播！#俄罗斯红场阅兵式直播#】北京时间今天下午，俄罗斯在莫斯科红场举行纪念卫国战争胜利75周年阅兵式，将有超1万名俄罗斯军人、200多件地面武器等接受检阅。中国人民解放军仪仗队也将亮相。@人民日报 联合@梨视频 带你看现场，一起期待#中国第一门面担当亮相红场#！ 人民日报的微博视频 .  ,2020-06-24,229978,13410,20104,30.539787913402506,中国人民解放军仪仗队#SPLIT#亮相红场#SPLIT#仪仗队亮相#SPLIT#俄罗斯红场#SPLIT#俄罗斯莫斯科红场
J84pju5DD,【排面！今天，#中国第一门面担当亮相红场#阅兵】时隔5年，中国人民解放军三军仪仗队将再次亮相红场阅兵。此前彩排中，他们迈着整齐步伐高唱《喀秋莎》惊艳了俄罗斯街头。近年来，解放军仪仗队多次走出国门，展示中国军人的飒爽英姿。转存#三军仪仗队海外阅兵名场面#↓↓点赞行走的“中国名片”！  http://t.cn/A6LTTAq8 ,2020-06-24,374563,27597,13683,30.928231385390063,亮相红场#SPLIT#红场阅兵#SPLIT#中国人民解放军三军仪仗队再次#SPLIT#仪仗队海外#SPLIT#仪仗队走出
J7RsoeLku,【#成都一男子公交站外持刀伤人致死#，已被立案侦查】据成都市公安局成华区分局通报，6月22日16时57分，该局接报警称：#双庆路#某公交车站外有人持刀伤人。民警迅速到达现场并控制嫌疑人邓某（男，30岁，四川省资阳市人）。受害人施某（女，20岁，本市人）经120现场抢救无效死亡。目前，犯罪嫌疑人邓某已被依法立案侦查，案件正在进一步侦办中。 原图 ,2020-06-22,524920,7121,21303,30.40642058210868,外持刀#SPLIT#持刀伤人#SPLIT#伤人致死#SPLIT#依法立案侦查#SPLIT#公交站外
J7x33awY0,【#中央将在香港设立维护国家安全公署#】（1）中央人民政府在香港特别行政区设立维护国家安全公署。中央人民政府驻香港特别行政区维护国家安全公署依法履行维护国家安全职责，行使相关权力。（2）驻港国家安全公署的职责为：分析研判香港特别行政区维护国家安全形势，就维护国家安全重大战略和重要政策提出意见和建议；监督、指导、协调、支持香港特别行政区履行维护国家安全的职责；收集分析国家安全情报信息；依法办理危害国家安全犯罪案件。（3）驻港国家安全公署应当严格依法履行职责，依法接受监督，不得侵害任何个人和组织的合法权益。驻港国家安全公署人员除须遵守全国性法律外，还应当遵守香港特别行政区法律。（4）驻港国家安全公署应当与香港特别行政区维护国家安全委员会建立协调机制，监督、指导香港特别行政区维护国家安全工作。驻港国家安全公署的工作部门与香港特别行政区维护国家安全的执法、司法机关建立协作机制，加强信息共享和行动配合。http://t.cn/A6LoYK6a 原图 ,2020-06-20,314039,26234,12025,30.59572687617618,香港特别行政区#SPLIT#国家安全#SPLIT#维护国家#SPLIT#安全公署#SPLIT#香港特别行政区维护
J7k04DoEP,【转发呼吁！#拒绝毒品我代言#】吸食毒品，毁灭自己、祸及家庭、危害社会，层出不穷的新型毒品更时刻威胁着广大青少年的身心健康！一代代禁毒民警舍生忘死，取得了一个又一个胜利。但打赢这场禁毒人民战争，仍需要你我共同参与。6月19日，@人民日报 、云南省公安厅、云南省禁毒办联合发起“拒绝毒品，我代言”网络公益活动，#冰雨火禁毒倡议#，行动起来，共同为拒绝毒品代言！  http://t.cn/A6LiXn4L ,2020-06-19,281399,1197206,18449,35.00349758795409,拒绝毒品#SPLIT#云南省禁毒办#SPLIT#云南省公安厅云南省#SPLIT#代言吸食毒品#SPLIT#冰雨火
J5XVvkx1E,【#钟南山李兰娟张文宏禁毒宣传片#】第33个国际禁毒日即将到来，钟南山、李兰娟、张文宏三位权威专家出镜拍摄了一部禁毒宣传片，从科学角度揭露毒品危害，向大家特别是青少年倡导“健康人生，绿色无毒”理念。网友：#抗疫天团也是禁毒天团#↓↓珍爱生命，远离毒品，转！中国禁毒在线的微博视频  ,2020-06-10,429071,39266,11610,31.10239206389821,李兰娟张文宏#SPLIT#钟南山李兰娟#SPLIT#团珍爱#SPLIT#国际禁毒日即将#SPLIT#宣传国际禁毒日
J5Tv8qxrn,【美国小伙谈#为什么在美国十万人不如一人#】为何美国疫情死十万人所造成的社会震动不如“弗洛伊德之死事件”大？听听美国小伙@我是郭杰瑞 用他的见闻来解释↓↓  人民日报的微博视频  ,2020-06-09,584808,21653,10781,30.550915796476346,美国小伙#SPLIT#小伙郭杰瑞#SPLIT#震动弗洛伊德#SPLIT#见闻解释#SPLIT#弗洛伊德死
J5ONQh30N,【#多所高校将全额退宿舍费#】今日，#中南大学宣布免收春学期住宿费#，对已缴纳的住宿费予以全额退费。此前，山东、广东已有多所高校发布公告，将结合学校实际情况，免缴春学期按5个月计算住宿费，已缴住宿费将退还。详戳↓↓  [组图共6张] 原图 ,2020-06-09,206829,7785,44638,31.13945356062296,春学期#SPLIT#中南大学宣布#SPLIT#免缴春#SPLIT#全额退费#SPLIT#已缴住宿费
J5po5v5m0,【#官方通报小学女生校内遭4名男生侵害#：多人受处分】据@蓝田宣传 ，5月28日涉事4名男学生已由公安机关送至西安市工读学校（为教育有严重不良行为的未成年人开办的专门学校）就读。同时对该女生加强心理疏导，并选择合适学校就读。5月29日，蓝田县教科局对该学校进行整顿教育，并按有关条例对相关人员处理，对该教学点负责人予以撤职；给予涉事年级任课教师和涉事学生班主任行政警告处分；给予该镇中心学校分管安全工作的副校长行政警告处分；对该镇中心学校校长进行诫勉谈话。 原图 ,2020-06-06,1643233,44953,95867,35.07557471474801,学校就读#SPLIT#涉事学生#SPLIT#行政警告#SPLIT#中心学校#SPLIT#不良行为未成年人
J4mGl4rmB,【#美国示威已席卷22个州32个城市#，#特朗普称将以最凶狠武器对付示威者#】美国明尼苏达州非洲裔男子乔治·弗洛伊德死于暴力执法的白人警察之手，民众的怒火已经烧向白宫。从当地时间29日晚10时开始，大批示威者开始聚集在白宫围栏外，与美国特勤局特工对峙。特勤局特工则用防暴盾牌、棍棒和胡椒喷雾剂来对付示威者。白宫门前的示威持续了5个多小时，到30日凌晨3点半才逐渐平息。美国总统特朗普30日早晨则连发4条推特，称赞特勤局“昨晚在白宫干得好，不仅非常专业，而且非常酷”。“我在里面（白宫）注视着每一个人的一举一动，感到无比的安全。”他还表示，如果抗议者冲破了白宫的围栏，“迎接他们的将是最凶恶的狗，以及我所见过的最凶狠的武器”。 据美国有线电视新闻网统计，目前抗议示威已席卷全美22个州的32个城市，以及首都华盛顿特区。在事发地明尼阿波利斯，示威已经进入了第5天，尽管当地政府出台的宵禁令已于29日晚8时生效，但是丝毫没有抑制住人们的怒火。该市29日晚再次彻夜见证“火与怒”。明尼苏达州州长蒂姆·沃尔茨30日一早在推特发文，敦促民众保持理智，“我们此时敦促和平”。（人民日报记者张梦旭） 原图 ,2020-05-30,568501,7326,17449,30.175343880704048,示威席卷#SPLIT#特勤局特工#SPLIT#凶狠武器#SPLIT#对付示威者#SPLIT#白宫围栏
J4j3X1Y5G,【#广州教育局回应小学教师涉嫌体罚学生#：已成立专项调查组】#广州市白云区教育局发布声明#：5月30日，微博网友“小岛里的大海”反映#广州市方圆实验小学#一名教师涉嫌体罚学生。接报后，我局高度重视，立即联合公安等部门迅速介入，成立专项调查组对该事件进行调查。事件调查结果将及时向社会公布。  原图 ,2020-05-30,193162,14964,38863,31.5508497326661,涉嫌体罚#SPLIT#事件调查及时#SPLIT#回应小学教师#SPLIT#实验小学教师#SPLIT#小学教师涉嫌
J4gxS0Kzh,【#特朗普宣布美国终止与世卫组织关系#】美国总统特朗普29日在白宫新闻发布会上宣布，美国将退出世界卫生组织，理由是世卫组织未能完成美国要求的改革。特朗普在白宫的新闻发布会上说：“我们今天将终止与世界卫生组织的关系，并将这些资金转移到全球其他地方，满足全球紧急公共卫生需求。”上周，特朗普在给世卫组织总干事谭德塞的信中表示，如果该组织未能在30天内做出实质性改进，美国将永久切断对世卫组织的资助，并重新考虑在该组织的成员资格。近几个月来，特朗普政府一直批评世卫组织对新冠病毒大流行的应对，指责该组织以中国为中心，未能及时向全球各国拉响预警。目前，美国是受新冠病毒影响最大的国家之一。《纽约时报》评论说，特朗普的这一声明是他将新冠病毒传播归咎于中国和世卫组织做法的一个重大升级，以转移人们对其应对危机不力、导致美国超过10万人死亡的指责。（张梦旭） 原图 ,2020-05-30,1211611,16695,32086,32.29096494392867,新冠#SPLIT#冠病毒#SPLIT#新闻发布会#SPLIT#特朗普白宫#SPLIT#世卫组织做法
J43mQ4f9X,【愈演愈烈！#美国部分示威者焚烧美国国旗#】近日，美国非裔男子遭暴力执法死亡后，明尼苏达州的暴力抗议活动再次发酵，示威者焚烧多栋建筑，包括距离当地一警局分局附近的购物中心。除此之外，多家店铺还遭到抢劫。  人民日报的微博视频  ,2020-05-28,421957,7306,22085,30.37696740670121,示威者焚烧#SPLIT#明尼苏达州暴力#SPLIT#警局分局#SPLIT#距离警局#SPLIT#附近购物中心
J41Rg7y99,【李克强：#中国有9亿双可以创造巨大财富的手#】中国有9亿多劳动力，没有就业，就是9亿张吃饭的口。有了就业，就是9亿双可以创造巨大财富的手。 人民日报的微博视频  ,2020-05-28,87444,95689,19773,31.99643656410057,李克强中国#SPLIT#巨大财富#SPLIT#财富手#SPLIT#创造巨大#SPLIT#吃饭口
J41CNgfAS,【#李克强回应新冠病毒源头问题#】#李克强答记者问#：中国和许多国家主张对病毒进行溯源，世卫组织大会通过了有关决议，中国也参与了。科学溯源可以更好防控疫情，也是为了各国人民生命健康。这次疫情突如其来，到现在还是未知大于已知，病毒是没有国界的，它是全世界人类的敌人，各国抗疫还在探索中前进。 http://t.cn/A62JzWwm ,2020-05-28,85751,102148,12608,31.37704434036816,世卫组织大会#SPLIT#大于已知#SPLIT#抗疫#SPLIT#更好防控#SPLIT#未知大于
J41i0gItj,【人民直播：#李克强答记者问#】十三届全国人大三次会议刚刚胜利闭幕。今日16时，国务院总理李克强在人民大会堂三楼金色大厅出席记者会并回答中外记者提问。@人民日报 全程直播，转发关注！#爱聊20两会# 人民日报的微博视频 .  ,2020-05-28,386898,165576,17290,33.087063221274676,中外记者提问#SPLIT#回答中外记者#SPLIT#总理李克强#SPLIT#李克强人民大会堂#SPLIT#李克强答记者问
J40nhppfQ,【#警方通报云南女生被多名男生殴打#：传唤调查涉事男生】28日，@禄丰警方 就“网传云南楚雄女生被男生殴打”发布通报：经查，该视频属实。教育行政主管部门已及时将被打女生送医院检查并进行心理疏导和安抚。公安机关已将涉事男生传唤至派出所进行调查。相关后续调查处置情况将及时发布。http://t.cn/A62x4jW1 ,2020-05-28,787136,14126,45776,32.441227525266314,男生殴打#SPLIT#涉事男生#SPLIT#女生男生#SPLIT#云南楚雄#SPLIT#公安机关已将
J3HHs41wK,【港澳知名爱国企业家#何鸿燊去世#，享年98岁】据央视，北京时间5月26日，港澳知名爱国企业家、第9届至第11届全国政协常委何鸿燊在香港养和医院逝世，享年98岁。他曾多次受到中国国家领导人接见，曾参与见证中英、中葡谈判及香港、澳门回归祖国，并把圆明园猪首铜像捐赠给保利艺术博物馆、圆明园马首铜像捐赠给国家文物局。他生前积极参与对祖国内地的经济建设，文化慈善等事业，为澳门的发展做出了突出贡献。 原图 ,2020-05-26,253918,82276,21099,32.47577466018519,铜像捐赠#SPLIT#爱国企业家#SPLIT#中英中葡#SPLIT#中葡谈判#SPLIT#企业家何鸿燊
